Date,Species,Count,Life Stage,Sex,Township,Range,Section,Project
8/9/2017,Rana pretiosa,3,adult,female,19S,11E,8,Apex
8/9/2017,Rana pretiosa,2,adult,female,21S,10E,10,Apex
8/9/2017,Rana pretiosa,4,juvenile,unknown,19S,11E,8,Apex
8/9/2017,Rana pretiosa,1,subadult,unknown,21S,10E,10,Apex
8/10/2017,Rana pretiosa,4,juvenile,unknown,21S,10E,10,Apex
8/15/2017,Rana pretiosa,1,adult,female,30S,09E,22,Telemetry
8/15/2017,Rana pretiosa,1,adult,female,30S,09E,23,Telemetry
8/15/2017,Rana pretiosa,3,adult,female,30S,09E,26,Telemetry
8/15/2017,Rana pretiosa,1,adult,male,30S,09E,26,Telemetry
8/16/2017,Rana pretiosa,5,adult,female,30S,08E,34,Telemetry
8/16/2017,Rana pretiosa,1,adult,male,30S,08E,34,Telemetry
8/16/2017,Rana pretiosa,1,adult,female,30S,09E,23,Telemetry
8/16/2017,Rana pretiosa,1,adult,female,30S,09E,26,Telemetry
8/16/2017,Rana pretiosa,1,adult,male,30S,09E,26,Telemetry
8/17/2017,Rana pretiosa,2,adult,female,30S,08E,35,Telemetry
8/23/2017,Rana pretiosa,1,adult,male,30S,08E,34,Telemetry
8/23/2017,Rana pretiosa,1,adult,female,30S,09E,23,Telemetry
8/23/2017,Rana pretiosa,1,adult,male,30S,09E,23,Telemetry
8/24/2017,Rana pretiosa,1,adult,female,30S,08E,35,Telemetry
8/24/2017,Rana pretiosa,1,adult,male,30S,08E,35,Telemetry
8/29/2017,Rana pretiosa,4,adult,female,27S,09E,14,Apex
8/29/2017,Rana pretiosa,2,adult,male,27S,09E,14,Apex
8/29/2017,Rana pretiosa,11,adult,female,27S,09E,24,Apex
8/29/2017,Rana pretiosa,1,adult,female,30S,08E,35,Telemetry
8/29/2017,Rana pretiosa,10,juvenile,unknown,27S,09E,13,Apex
8/29/2017,Rana pretiosa,10,juvenile,unknown,27S,09E,14,Apex
8/29/2017,Rana pretiosa,1,subadult,unknown,27S,09E,14,Apex
8/30/2017,Rana pretiosa,1,adult,unknown,27S,09E,13,Apex
8/30/2017,Rana pretiosa,2,adult,female,27S,09E,14,Apex
8/30/2017,Rana pretiosa,1,adult,male,27S,09E,14,Apex
8/30/2017,Rana pretiosa,9,adult,female,27S,09E,24,Apex
